SPEC,year,month,n
AMRO,1986,05,5
AMRO,1986,06,7
AMRO,1987,03,1
AMRO,1987,04,5
AMRO,1987,05,5
AMRO,1987,06,8
AMRO,1987,07,1
AMRO,1987,11,1
AMRO,1987,12,3
AMRO,1988,01,5
AMRO,1988,02,3
AMRO,1988,04,8
AMRO,1988,05,6
AMRO,1988,06,9
AMRO,1988,08,1
AMRO,1988,12,1
AMRO,1989,03,1
AMRO,1989,04,4
AMRO,1989,05,6
AMRO,1989,06,6
AMRO,1989,07,3
AMRO,1989,12,1
AMRO,1990,04,3
AMRO,1990,05,2
AMRO,1990,06,4
AMRO,1990,07,3
AMRO,1990,11,1
AMRO,1991,02,1
AMRO,1991,04,2
AMRO,1991,05,6
AMRO,1991,06,8
AMRO,1991,07,5
AMRO,1992,01,1
AMRO,1992,04,2
AMRO,1992,05,5
AMRO,1992,06,6
AMRO,1992,07,1
AMRO,1992,12,1
AMRO,1993,01,7
AMRO,1993,02,1
AMRO,1993,04,5
AMRO,1993,05,7
AMRO,1993,06,5
AMRO,1993,07,4
AMRO,1993,09,2
AMRO,1994,01,2
AMRO,1994,02,2
AMRO,1994,03,1
AMRO,1994,04,6
AMRO,1994,05,3
AMRO,1994,06,5
AMRO,1994,07,9
AMRO,1994,11,6
AMRO,1994,12,2
AMRO,1995,02,4
AMRO,1995,03,3
AMRO,1995,04,1
AMRO,1995,05,9
AMRO,1995,06,9
AMRO,1995,07,1
AMRO,1996,01,1
AMRO,1996,02,2
AMRO,1996,04,8
AMRO,1996,05,5
AMRO,1996,06,9
AMRO,1996,07,3
AMRO,1996,08,2
AMRO,1996,10,1
AMRO,1996,12,1
AMRO,1997,01,3
AMRO,1997,02,3
AMRO,1997,04,4
AMRO,1997,05,5
AMRO,1997,06,1
AMRO,1997,07,3
AMRO,1997,11,1
AMRO,1997,12,4
AMRO,1998,01,1
AMRO,1998,02,2
AMRO,1998,03,1
AMRO,1998,04,2
AMRO,1998,05,3
AMRO,1998,06,4
AMRO,1998,07,3
AMRO,1998,09,1
AMRO,1998,12,1
AMRO,1999,01,5
AMRO,1999,02,6
AMRO,1999,03,1
AMRO,1999,04,1
AMRO,1999,05,3
AMRO,1999,06,2
AMRO,1999,07,4
AMRO,1999,12,1
AMRO,2000,01,1
AMRO,2000,02,6
AMRO,2000,04,4
AMRO,2000,05,4
AMRO,2000,06,5
AMRO,2000,07,4
AMRO,2000,12,2
AMRO,2001,02,2
AMRO,2001,03,2
AMRO,2001,04,6
AMRO,2001,05,5
AMRO,2001,06,5
AMRO,2001,11,3
AMRO,2001,12,6
AMRO,2002,01,15
AMRO,2002,02,6
AMRO,2002,03,3
AMRO,2002,04,2
AMRO,2002,05,4
AMRO,2002,06,6
AMRO,2002,07,1
AMRO,2002,11,1
AMRO,2002,12,7
AMRO,2003,01,4
AMRO,2003,02,2
AMRO,2003,03,2
AMRO,2003,04,3
AMRO,2003,05,5
AMRO,2003,06,7
AMRO,2003,07,4
AMRO,2003,12,8
AMRO,2004,01,12
AMRO,2004,02,6
AMRO,2004,03,2
AMRO,2004,04,4
AMRO,2004,06,7
AMRO,2004,07,1
AMRO,2004,11,1
AMRO,2004,12,3
AMRO,2005,01,2
AMRO,2005,02,2
AMRO,2005,03,3
AMRO,2005,04,1
AMRO,2005,05,6
AMRO,2005,06,8
AMRO,2005,07,1
AMRO,2006,01,2
AMRO,2006,02,1
AMRO,2006,03,1
AMRO,2006,05,2
AMRO,2006,06,7
AMRO,2006,07,10
AMRO,2006,11,1
AMRO,2006,12,2
AMRO,2007,01,5
AMRO,2007,02,5
AMRO,2007,03,1
AMRO,2007,04,2
AMRO,2007,05,7
AMRO,2007,06,2
AMRO,2007,07,11
AMRO,2007,08,1
AMRO,2007,12,2
AMRO,2008,03,2
AMRO,2008,04,5
AMRO,2008,05,2
AMRO,2008,06,8
AMRO,2008,07,3
AMRO,2008,12,1
AMRO,2009,02,1
AMRO,2009,03,1
AMRO,2009,04,1
AMRO,2009,05,10
AMRO,2009,06,5
AMRO,2009,07,1
AMRO,2009,11,1
AMRO,2009,12,4
AMRO,2010,01,4
AMRO,2010,02,3
AMRO,2010,04,2
AMRO,2010,05,1
AMRO,2010,06,7
AMRO,2010,07,1
AMRO,2011,03,1
AMRO,2011,04,3
AMRO,2011,05,1
AMRO,2011,06,11
AMRO,2011,07,4
AMRO,2011,10,1
AMRO,2011,11,2
AMRO,2012,02,1
AMRO,2012,03,2
AMRO,2012,04,6
AMRO,2012,05,8
AMRO,2012,06,11
AMRO,2012,07,11
AMRO,2012,12,1
AMRO,2013,01,1
AMRO,2013,05,6
AMRO,2013,06,11
AMRO,2013,07,3
AMRO,2014,04,2
AMRO,2014,05,10
AMRO,2014,06,11
AMRO,2014,07,3
AMRO,2014,09,1
AMRO,2014,11,1
AMRO,2014,12,7
AMRO,2015,01,4
AMRO,2015,02,3
AMRO,2015,03,1
AMRO,2015,04,5
AMRO,2015,05,4
AMRO,2015,06,4
AMRO,2015,07,5
AMRO,2015,11,1
AMRO,2015,12,1
AMRO,2016,01,1
AMRO,2016,02,1
AMRO,2016,03,1
AMRO,2016,04,3
AMRO,2016,05,3
AMRO,2016,06,4
AMRO,2016,07,1
AMRO,2016,12,2
AMRO,2017,01,1
AMRO,2017,02,1
AMRO,2017,03,2
AMRO,2017,04,3
AMRO,2017,05,4
AMRO,2017,07,5
AMRO,2018,03,2
AMRO,2018,04,1
AMRO,2018,05,11
AMRO,2018,06,10
AMRO,2018,07,6
AMRO,2018,11,2
AMRO,2018,12,1
AMRO,2019,01,5
AMRO,2019,02,4
AMRO,2019,03,2
AMRO,2019,04,1
AMRO,2019,05,10
AMRO,2019,06,5
AMRO,2019,07,3
AMRO,2019,12,3
AMRO,2020,01,2
AMRO,2020,04,4
AMRO,2020,05,4
AMRO,2020,06,10
AMRO,2020,07,9
AMRO,2020,12,1
AMRO,2021,01,3
AMRO,2021,03,1
AMRO,2021,04,9
